tailNumber;model;lastCheck;nextCheck;flightHours;status
SA8877;Airbus A350;2025-02-21;2026-07-14;980;OK
NH2891;Airbus A320;2024-07-29;2026-06-22;852;OK
NH5763;Airbus A330;2024-12-23;2026-07-28;822;OK
AA8058;Boeing 777;2024-12-19;2025-09-10;3688;OK
UA1914;Boeing 777;2025-06-03;2025-09-02;1553;OK
AV4742;Boeing 747;2024-08-21;2025-11-21;1340;OK
SK7263;Airbus A350;2025-06-15;2026-01-19;1113;OK
QF8880;Airbus A350;2024-12-24;2025-07-02;2859;OK
QR2866;Boeing 747;2024-07-19;2025-09-17;1944;OK
AC6343;Airbus A330;2025-05-06;2025-10-13;4159;OK
SQ8046;Airbus A330;2024-10-30;2026-07-10;961;OK
SK7368;Boeing 777;2024-12-22;2025-11-25;3950;OK
LH8278;Airbus A330;2025-01-15;2026-05-27;822;OK
SK7017;Boeing 747;2025-02-27;2026-01-17;1471;OK
QF4469;Boeing 747;2025-03-03;2025-10-25;4575;OK
AV2988;Airbus A320;2024-11-24;2026-03-22;3371;OK
AZ7053;Airbus A350;2025-03-21;2026-01-19;2253;OK
KL6393;Airbus A330;2025-03-31;2026-02-19;1355;OK
DL3680;Airbus A350;2024-07-04;2025-10-31;4105;OK
UA4288;Boeing 747;2024-09-06;2025-12-18;3226;OK
LH2485;Airbus A330;2024-07-24;2025-09-03;2992;OK
SQ3534;Boeing 737;2024-11-23;2026-02-19;2181;OK
AM6972;Airbus A330;2024-07-08;2025-09-09;4419;OK
WN4815;Boeing 777;2024-07-24;2025-12-13;508;OK
KE6156;Boeing 777;2025-04-11;2026-07-24;889;OK
IB5963;Boeing 737;2024-08-27;2026-07-06;1977;OK
ET1460;Boeing 747;2024-07-26;2026-06-20;2230;OK
IB8664;Boeing 777;2024-11-10;2026-01-10;4160;OK
SA8898;Airbus A350;2025-01-26;2025-08-01;993;OK
QR7768;Boeing 777;2025-01-09;2026-06-07;4198;OK
UA4854;Boeing 777;2024-08-18;2026-02-01;1427;OK
NH9722;Airbus A330;2025-02-15;2025-09-08;2617;OK
AI1237;Boeing 747;2024-08-01;2026-06-01;2438;OK
SK3891;Boeing 777;2025-04-04;2026-06-14;1503;OK
TG6855;Airbus A350;2025-03-09;2025-06-28;1004;OK
KE4411;Airbus A350;2024-08-14;2025-10-10;3543;OK
QF8881;Airbus A330;2024-06-28;2025-12-08;3874;OK
AA1980;Boeing 777;2025-06-01;2026-01-06;2791;OK
AC5771;Boeing 747;2024-08-19;2025-08-17;2202;OK
NZ6764;Boeing 737;2025-02-18;2026-01-03;4499;OK
WN3567;Boeing 737;2025-05-24;2025-08-10;3071;OK
AZ7822;Airbus A320;2024-09-15;2026-06-18;4400;OK
KE3181;Airbus A350;2024-08-28;2026-03-16;3273;OK
AF6606;Boeing 737;2024-08-02;2025-08-21;326;OK
DL4723;Boeing 737;2025-02-21;2026-02-06;180;OK
AM2354;Boeing 747;2024-09-04;2025-12-04;1889;OK
CX4541;Airbus A330;2025-01-25;2025-08-28;4392;OK
NZ8106;Airbus A320;2025-05-24;2025-08-24;248;OK
QR5610;Airbus A330;2024-09-02;2026-07-25;1954;OK
AF3264;Airbus A330;2025-05-19;2026-07-20;3718;OK
AM7051;Airbus A320;2025-04-02;2026-03-19;3345;OK
SQ3948;Airbus A350;2025-03-27;2025-09-05;274;OK
LH6097;Boeing 777;2025-03-16;2025-08-11;4422;OK
UA1667;Boeing 777;2024-07-12;2025-08-25;613;OK
UA5552;Airbus A350;2024-07-12;2026-04-24;2831;OK
LH3401;Boeing 747;2025-05-22;2025-09-09;2831;OK
QR6356;Boeing 777;2025-05-01;2026-06-07;1765;OK
AA9066;Airbus A350;2024-07-26;2025-08-20;1768;OK
AM6618;Airbus A320;2025-03-01;2026-06-29;3180;OK
NH3030;Airbus A330;2025-04-25;2025-07-28;3887;OK
SA2680;Airbus A330;2024-09-08;2025-11-25;256;OK
NH2640;Airbus A350;2025-01-01;2025-12-22;241;OK
AM5332;Boeing 747;2024-10-13;2025-07-20;719;OK
AV2802;Boeing 777;2025-01-31;2026-07-28;2849;OK
NH9241;Boeing 737;2024-12-03;2026-04-14;2905;OK
NZ9603;Airbus A350;2024-06-20;2026-02-19;2765;OK
AA1405;Boeing 737;2024-11-18;2026-07-03;3698;OK
NZ3240;Boeing 777;2024-10-08;2026-02-01;517;OK
KL1170;Boeing 737;2025-01-20;2025-11-24;3663;OK
AI4924;Airbus A320;2024-07-12;2026-02-11;2764;OK
KE6236;Boeing 777;2025-05-05;2026-01-01;772;OK
QR6757;Airbus A320;2025-04-20;2026-06-10;1850;OK
QR3399;Boeing 777;2024-08-09;2025-12-11;4881;OK
DL5304;Airbus A320;2024-06-29;2026-05-23;1214;OK
AC3020;Airbus A320;2024-10-10;2025-12-27;1066;OK
AM3307;Airbus A350;2024-06-20;2026-03-29;1978;OK
BA7461;Boeing 737;2024-09-10;2026-06-28;162;OK
AC9578;Airbus A320;2024-07-09;2025-09-15;4108;OK
KE5403;Airbus A320;2025-06-16;2026-03-06;4177;OK
IB9356;Boeing 747;2024-09-27;2026-03-04;3468;OK
KL8666;Airbus A330;2024-08-18;2025-09-05;2708;OK
TG7416;Boeing 747;2025-01-05;2026-02-18;2827;OK
AF6433;Boeing 737;2024-08-10;2026-05-07;4275;OK
AZ1471;Airbus A350;2024-10-06;2026-02-12;390;OK
EK1431;Boeing 777;2025-05-03;2025-08-29;1935;OK
SA1576;Boeing 737;2025-05-05;2025-11-12;271;OK
NZ9968;Airbus A350;2024-11-03;2025-09-26;3264;OK
AC9289;Airbus A320;2024-10-11;2026-02-19;2624;OK
AI9055;Airbus A330;2025-05-05;2025-11-20;4866;OK
UA4283;Boeing 777;2025-05-30;2025-06-05;4657;OK
EK4042;Airbus A350;2025-06-18;2026-02-01;4266;OK
AI5828;Boeing 777;2024-10-18;2025-10-31;1831;OK
EK8571;Airbus A350;2024-10-16;2026-07-02;946;OK
SQ9982;Airbus A350;2024-08-31;2026-04-07;888;OK
AV7819;Boeing 737;2024-07-07;2025-06-27;1156;OK
AM4035;Airbus A330;2025-02-05;2025-12-29;581;OK
AF3820;Boeing 747;2025-01-12;2025-10-15;1774;OK
IB3835;Airbus A330;2024-10-12;2026-05-30;238;OK
SK5790;Boeing 737;2024-11-03;2026-06-16;2207;OK
AC1726;Boeing 777;2025-03-21;2025-12-06;3064;OK
QR5478;Airbus A330;2024-09-19;2026-03-31;4095;OK
NZ7696;Airbus A320;2025-01-25;2026-01-23;3899;OK
AF5390;Boeing 777;2024-09-04;2026-07-17;608;OK
DL8835;Airbus A350;2024-11-02;2025-11-01;412;OK
BA4649;Airbus A320;2025-01-31;2026-04-25;4287;OK
LH6337;Boeing 737;2024-12-22;2025-11-19;3706;OK
NZ6776;Airbus A320;2025-04-21;2025-09-05;4160;OK
AA7485;Airbus A350;2025-04-14;2025-08-10;1816;OK
KE3954;Boeing 747;2024-07-19;2025-06-05;4727;OK
AZ9404;Airbus A330;2025-02-12;2026-01-19;3790;OK
AF5408;Boeing 777;2024-11-22;2025-09-29;2222;OK
SK2435;Airbus A320;2025-03-20;2025-06-18;4467;OK
UA9423;Boeing 747;2024-07-17;2025-09-29;2735;OK
WN9242;Airbus A330;2024-06-20;2025-07-11;774;OK
QR6450;Airbus A330;2025-04-08;2025-09-22;929;OK
UA8751;Boeing 747;2024-08-27;2025-06-27;3974;OK
QR4498;Boeing 737;2024-10-01;2025-08-04;4798;OK
KE3049;Airbus A350;2024-12-07;2026-05-22;4403;OK
LH5685;Boeing 747;2024-09-16;2026-01-29;466;OK
CX3985;Airbus A320;2024-10-26;2025-09-10;1319;OK
KE6237;Airbus A350;2024-07-28;2025-06-16;1257;OK
QF2364;Boeing 747;2025-05-26;2025-07-22;3319;OK
AZ2773;Airbus A350;2024-11-22;2026-05-18;1415;OK
WN9155;Airbus A350;2024-07-18;2026-04-21;4135;OK
AM3648;Boeing 747;2024-09-03;2026-05-14;2721;OK
QF8551;Boeing 777;2025-05-25;2026-05-01;4342;OK
LH1985;Airbus A350;2025-05-31;2026-05-27;2436;OK
EK1066;Boeing 777;2024-10-02;2025-09-03;518;OK
IB2298;Boeing 777;2025-04-20;2025-10-09;1809;OK
AM3793;Boeing 747;2025-05-08;2026-01-30;1687;OK
AF6240;Boeing 747;2025-04-20;2026-07-20;1369;OK
WN9336;Boeing 777;2024-08-02;2026-05-31;534;OK
KE1537;Airbus A320;2024-12-10;2026-07-20;4081;OK
QF4544;Airbus A330;2024-10-30;2026-07-07;4662;OK
NZ7697;Boeing 777;2024-06-26;2026-06-23;1515;OK
NH2700;Boeing 747;2024-08-30;2026-01-16;3391;OK
WN1798;Boeing 747;2024-11-27;2025-10-23;3921;OK
NZ1546;Airbus A320;2025-05-09;2025-11-30;4300;OK
NZ9000;Boeing 777;2025-04-01;2026-06-07;2520;OK
WN9954;Airbus A320;2024-08-20;2026-04-21;3402;OK
BA7332;Airbus A320;2024-07-01;2025-11-15;4211;OK
AV7494;Airbus A330;2025-06-12;2025-12-05;4024;OK
AF7953;Airbus A350;2025-02-16;2026-03-25;291;OK
KL7820;Boeing 777;2024-06-26;2026-04-05;3192;OK
AM9841;Airbus A350;2024-07-15;2026-01-05;2341;OK
AI9969;Airbus A320;2025-02-06;2025-06-02;1588;OK
QF4545;Airbus A320;2024-07-17;2025-11-23;1654;OK
AA4202;Airbus A350;2024-10-05;2025-09-14;355;OK
SA6382;Airbus A350;2024-10-02;2025-11-06;3153;OK
LH4335;Airbus A320;2025-02-21;2026-03-06;4810;OK
AA8853;Airbus A330;2024-10-03;2025-08-18;1886;OK
AV3374;Airbus A350;2025-02-23;2025-07-18;3634;OK
KE7452;Airbus A320;2025-05-13;2026-06-07;1421;OK
QR8006;Airbus A350;2024-10-18;2025-06-10;1095;OK
QR7112;Boeing 747;2024-08-10;2026-03-25;4515;OK
BA1149;Boeing 777;2025-03-12;2026-02-10;3238;OK
SQ3780;Boeing 777;2025-06-15;2026-01-15;1115;OK
UA9424;Airbus A330;2025-04-28;2026-06-25;1052;OK
AA4031;Airbus A350;2024-10-06;2025-10-01;286;OK
AV8307;Airbus A320;2025-02-03;2025-09-30;3644;OK
WN7726;Boeing 747;2024-06-20;2025-09-29;2052;OK
NH6825;Airbus A350;2024-10-09;2025-10-11;149;OK
ET8511;Boeing 747;2025-05-30;2025-06-26;1373;OK
AZ8496;Airbus A350;2024-08-09;2026-02-24;1587;OK
QR1805;Airbus A330;2025-04-26;2026-07-05;1733;OK
LA8837;Boeing 777;2025-05-06;2025-07-24;374;OK
LH3536;Airbus A350;2025-04-22;2025-09-12;1448;OK
LH6338;Boeing 777;2024-08-19;2025-09-25;1456;OK
WN4624;Boeing 747;2024-08-05;2026-06-17;3608;OK
QR1587;Airbus A320;2025-01-05;2025-10-04;1158;OK
SK9545;Boeing 777;2024-09-26;2025-10-28;522;OK
TG5280;Boeing 747;2025-03-19;2026-02-15;1966;OK
ET1809;Boeing 737;2024-10-25;2025-05-31;4564;OK
NZ6109;Airbus A350;2024-08-21;2025-10-19;626;OK
SA2979;Boeing 777;2024-10-21;2026-01-18;750;OK
SK2512;Airbus A350;2025-01-08;2025-07-14;4288;OK
AF5759;Airbus A320;2024-08-19;2025-07-30;2422;OK
QR1240;Airbus A350;2024-11-20;2026-03-21;514;OK
AZ2894;Airbus A350;2024-08-22;2025-10-18;2949;OK
KE9657;Airbus A320;2024-10-12;2026-06-20;4239;OK
AZ1725;Airbus A350;2025-01-03;2026-07-11;2727;OK
ET9986;Airbus A350;2024-09-02;2026-02-27;4380;OK
QF7414;Airbus A350;2024-08-12;2026-07-10;1032;OK
EK4555;Boeing 777;2024-10-26;2026-03-15;1501;OK
ET8839;Airbus A320;2025-03-03;2026-05-22;1305;OK
AZ1037;Airbus A350;2025-04-14;2026-05-26;2930;OK
AA6628;Boeing 747;2024-11-25;2026-02-13;2795;OK
LA9044;Boeing 777;2025-02-17;2026-03-27;2154;OK
LH3183;Boeing 747;2025-05-03;2025-08-20;1821;OK
EK5011;Boeing 747;2025-05-13;2025-08-07;774;OK
AC7315;Airbus A350;2024-12-10;2026-04-29;891;OK
QR3296;Boeing 777;2025-06-19;2026-03-09;2123;OK
QF6361;Boeing 747;2025-03-02;2026-01-20;1801;OK
CX1163;Boeing 737;2024-12-22;2025-12-01;328;OK
AV8569;Airbus A330;2025-02-05;2026-05-01;2362;OK
KE7714;Boeing 777;2025-04-26;2025-07-25;728;OK
DL8854;Airbus A350;2024-11-26;2026-07-22;357;OK
ET2634;Airbus A330;2025-02-05;2025-08-31;2600;OK
WN5043;Airbus A350;2025-04-17;2025-12-13;1464;OK
IB6717;Airbus A350;2025-04-24;2026-04-15;3681;OK
NZ1208;Boeing 737;2024-12-29;2025-12-26;3460;OK
AV1895;Boeing 737;2025-06-11;2025-10-09;4723;OK
QF3964;Boeing 747;2024-09-03;2026-02-19;1712;OK
DL1233;Airbus A320;2024-08-14;2025-09-15;121;OK
NZ1707;Airbus A350;2025-02-17;2026-03-05;4420;OK
SA8121;Boeing 747;2024-09-01;2026-02-05;2867;OK
QF6834;Boeing 737;2025-01-06;2026-03-27;1665;OK
AI9365;Boeing 747;2024-07-20;2025-07-11;4305;OK
QR8923;Boeing 737;2025-03-10;2026-07-28;1307;OK
SQ3260;Boeing 737;2024-12-14;2025-06-18;2711;OK
QR2435;Boeing 777;2025-04-01;2026-07-28;622;OK
TG7204;Airbus A320;2024-10-16;2025-09-21;4307;OK
KE3098;Boeing 747;2024-09-13;2025-12-29;3511;OK
AZ9050;Airbus A330;2025-04-15;2026-05-31;3703;OK
SA7873;Airbus A350;2024-10-12;2025-09-20;3215;OK
CX3691;Airbus A350;2024-09-25;2025-07-04;4322;OK
AZ8989;Airbus A330;2025-04-29;2026-01-17;1321;OK
AA7962;Airbus A320;2024-10-31;2025-10-30;4763;OK
BA7835;Boeing 747;2024-11-21;2026-05-20;2780;OK
NH6666;Boeing 777;2024-07-21;2026-04-17;2556;OK
LH6305;Airbus A350;2025-01-14;2025-06-03;3267;OK
NZ8575;Airbus A320;2024-11-05;2026-05-29;4401;OK
AA5127;Boeing 737;2024-09-09;2026-04-12;2706;OK
LA7043;Boeing 777;2025-05-31;2025-08-05;4555;OK
AA4284;Boeing 737;2024-08-31;2025-09-28;2077;OK
AM4822;Airbus A330;2025-05-10;2025-06-30;2592;OK
AA7447;Airbus A350;2025-06-14;2026-07-24;1267;OK
KL3749;Airbus A330;2024-07-15;2025-06-06;4869;OK
BA4185;Boeing 777;2024-09-14;2025-11-22;618;OK
AA8666;Boeing 737;2024-12-25;2025-09-17;4176;OK
ET6025;Airbus A330;2025-02-17;2026-05-23;276;OK
AM8243;Airbus A350;2024-08-18;2025-06-10;1985;OK
IB9227;Boeing 777;2025-01-19;2025-11-25;3869;OK
LH1832;Airbus A350;2025-06-09;2025-06-24;4654;OK
AI4925;Airbus A350;2025-01-03;2026-04-18;3983;OK
LH5493;Airbus A350;2024-09-25;2025-10-31;1945;OK
TG3685;Boeing 747;2024-07-15;2025-11-11;2394;OK
DL1925;Boeing 737;2024-11-30;2025-07-28;979;OK
AA4285;Boeing 777;2024-08-28;2025-06-09;3033;OK
QR3382;Boeing 747;2024-11-28;2025-07-02;4772;OK
ET5973;Airbus A320;2025-01-27;2026-06-05;2125;OK
AC3743;Airbus A330;2024-07-16;2025-11-26;4846;OK
AI2711;Boeing 747;2024-11-08;2025-08-14;724;OK
ET5946;Airbus A320;2024-11-30;2026-01-05;2570;OK
SK6775;Airbus A330;2024-10-22;2026-02-10;1083;OK
NH9613;Boeing 747;2024-09-19;2026-07-18;3086;OK
AV7495;Boeing 737;2024-06-29;2026-01-02;4076;OK
CX4972;Airbus A330;2024-07-04;2025-12-08;1029;OK
AF4017;Boeing 777;2024-09-09;2026-01-07;102;OK
EK3720;Boeing 737;2024-12-13;2025-10-08;4653;OK
ET3891;Airbus A350;2025-05-01;2026-03-18;1804;OK
TG4572;Airbus A350;2024-11-03;2026-04-13;4396;OK
SA6570;Airbus A350;2024-12-16;2026-06-02;2250;OK
AM5261;Boeing 737;2024-07-24;2025-08-05;3280;OK
AI1169;Airbus A330;2024-08-21;2026-03-08;2183;OK
QR4438;Boeing 777;2025-03-06;2025-08-29;1029;OK
IB7103;Airbus A330;2024-07-02;2026-05-23;3889;OK
AC4413;Airbus A320;2025-01-31;2026-07-19;337;OK
BA9448;Airbus A350;2024-07-17;2026-05-31;4344;OK
UA1915;Airbus A320;2024-08-15;2026-06-30;4616;OK
AM8507;Airbus A330;2025-02-02;2026-05-22;1250;OK
QF3938;Boeing 777;2024-12-10;2025-09-23;4243;OK
UA3235;Boeing 737;2025-03-02;2026-05-31;3799;OK
IB1779;Airbus A320;2025-02-16;2026-06-22;2092;OK
TG7872;Boeing 777;2025-05-04;2026-07-07;3232;OK
BA3369;Boeing 777;2025-05-12;2025-07-25;2551;OK
IB3698;Boeing 737;2024-10-30;2026-02-22;4593;OK
DL4345;Airbus A330;2025-03-31;2026-02-02;1121;OK
KL5312;Boeing 777;2025-02-03;2026-07-18;4390;OK
SK9544;Boeing 777;2024-09-22;2026-06-27;1918;OK
AZ1675;Boeing 747;2024-12-08;2025-08-13;1968;OK
CX9990;Airbus A320;2024-08-03;2025-10-06;4403;OK
KL5800;Boeing 777;2025-05-18;2025-06-18;1818;OK
TG4731;Airbus A350;2024-12-19;2025-08-25;4537;OK
KL7178;Airbus A330;2025-06-15;2025-11-03;3689;OK
SK2122;Boeing 777;2025-05-10;2026-03-10;1979;OK
BA6528;Airbus A350;2025-03-24;2026-03-05;938;OK
AA1753;Airbus A350;2024-11-24;2026-07-20;942;OK
AI8807;Boeing 737;2025-04-17;2026-06-15;3099;OK
LA7080;Airbus A330;2025-03-10;2026-01-28;4772;OK
DL1090;Airbus A350;2024-11-27;2026-06-16;3991;OK
SK1423;Airbus A350;2024-09-16;2026-07-08;1396;OK
QF5089;Boeing 737;2024-12-05;2025-09-28;2216;OK
SA1292;Boeing 737;2024-10-06;2026-03-25;1755;OK
AI2948;Boeing 777;2024-08-15;2026-07-09;2621;OK
SA2288;Airbus A350;2024-11-28;2026-01-11;3902;OK
NZ8224;Airbus A350;2024-07-09;2025-06-14;4630;OK
AF6128;Airbus A330;2024-07-15;2025-12-24;2564;OK
AI3981;Airbus A330;2025-06-14;2025-09-24;3913;OK
WN4007;Boeing 747;2025-01-13;2026-03-07;4204;OK
DL3554;Airbus A320;2025-03-27;2025-08-03;184;OK
QR6374;Boeing 747;2024-09-09;2025-09-26;571;OK
LA4242;Airbus A320;2024-07-21;2026-04-21;1802;OK
KL1091;Boeing 747;2025-05-31;2025-07-19;4177;OK
TG3890;Boeing 737;2025-01-19;2026-06-03;958;OK
AC6946;Airbus A350;2024-10-05;2026-06-03;638;OK
BA7701;Airbus A330;2024-08-12;2026-04-16;3626;OK
KE2609;Airbus A330;2024-12-18;2026-03-09;839;OK
NZ7086;Boeing 777;2025-03-15;2025-06-26;4502;OK
QR7627;Airbus A350;2025-02-20;2026-04-19;4391;OK
QF4698;Boeing 747;2024-07-11;2026-07-24;3448;OK
SA5382;Airbus A330;2025-01-19;2025-12-27;270;OK
UA6353;Boeing 747;2024-07-05;2026-07-11;936;OK
NZ9559;Boeing 737;2025-01-26;2025-09-12;343;OK
KE9516;Airbus A320;2024-11-16;2025-07-20;206;OK
SA5308;Boeing 737;2024-09-02;2025-06-11;618;OK
SK6761;Boeing 737;2024-12-18;2025-10-18;745;OK
DL1375;Boeing 737;2025-04-03;2026-04-08;4353;OK
TG4368;Boeing 737;2025-01-10;2026-01-09;4136;OK
KE2000;Boeing 747;2024-07-31;2026-03-17;1614;OK
SQ9836;Boeing 737;2025-01-26;2025-12-25;3447;OK
AC9760;Airbus A330;2024-10-14;2025-11-24;2129;OK
UA9030;Airbus A330;2024-12-04;2026-07-26;4770;OK
AA8312;Boeing 777;2025-02-11;2026-07-30;4267;OK
KE8640;Airbus A350;2025-06-02;2026-03-21;404;OK
AZ6999;Boeing 777;2024-10-04;2026-03-20;1679;OK
KE7321;Airbus A320;2025-03-21;2026-06-11;3802;OK
KE2501;Boeing 737;2024-09-08;2026-06-07;4682;OK
AI9867;Airbus A350;2024-08-02;2026-07-01;4075;OK
QF9280;Airbus A330;2025-05-08;2025-12-08;4080;OK
AZ5777;Boeing 737;2025-03-27;2026-07-15;2533;OK
AZ8138;Boeing 747;2025-05-07;2026-02-06;486;OK
DL3021;Boeing 777;2025-05-16;2026-07-09;3664;OK
AA3880;Boeing 737;2024-09-25;2026-07-20;3488;OK
WN1387;Boeing 777;2025-05-30;2026-01-20;109;OK
LA3204;Airbus A350;2024-10-15;2026-01-26;750;OK
SK6504;Boeing 777;2025-05-13;2025-10-09;3799;OK
SQ9723;Airbus A330;2025-05-03;2026-02-21;1136;OK
SA9162;Airbus A330;2025-01-04;2026-05-16;563;OK
AV9155;Airbus A330;2025-04-28;2025-09-19;238;OK
TG5405;Airbus A330;2025-01-04;2026-01-29;2097;OK
DL7893;Boeing 777;2025-04-21;2026-05-28;4872;OK
SQ9837;Boeing 737;2024-09-21;2025-11-01;3337;OK
IB7753;Airbus A320;2024-06-21;2026-03-27;638;OK
EK7596;Boeing 777;2024-08-29;2025-11-09;4124;OK
AA4152;Airbus A320;2025-02-19;2026-02-17;4051;OK
QF2974;Airbus A330;2024-11-04;2026-05-17;1761;OK
UA5069;Boeing 737;2025-02-18;2026-07-10;3421;OK
IB4821;Airbus A350;2024-11-02;2026-07-28;3068;OK
NH4894;Boeing 777;2025-03-21;2026-05-31;2526;OK
EK3571;Airbus A350;2025-03-13;2025-07-12;3065;OK
AZ2845;Boeing 737;2024-11-21;2026-03-16;2193;OK
IB5964;Boeing 747;2024-07-03;2026-07-26;2016;OK
AV6156;Airbus A330;2025-04-12;2025-06-20;4061;OK
AM3649;Airbus A320;2024-08-15;2025-08-20;1974;OK
KE7499;Airbus A320;2024-11-08;2025-11-11;257;OK
AZ7452;Airbus A350;2025-03-23;2026-03-27;2371;OK
LH7175;Airbus A350;2025-02-16;2025-07-09;4438;OK
AC7769;Boeing 747;2024-12-28;2025-07-02;1623;OK
UA1392;Boeing 777;2025-05-09;2025-10-22;1154;OK
KE3611;Airbus A320;2024-10-21;2026-03-24;2478;OK
QR5358;Boeing 747;2025-04-28;2026-07-16;2654;OK
BA7761;Boeing 737;2025-01-03;2025-08-27;459;OK
LH6904;Boeing 747;2024-12-20;2025-12-10;982;OK
AM3700;Boeing 737;2024-10-08;2026-06-24;4671;OK
QR5977;Boeing 777;2025-01-01;2025-10-26;2393;OK
QF5892;Boeing 747;2025-06-11;2026-02-12;1110;OK
KE9114;Boeing 737;2025-05-16;2026-02-05;2118;OK
EK4646;Boeing 737;2024-10-26;2025-12-07;3668;OK
WN1868;Airbus A320;2024-10-27;2025-09-09;4718;OK
LH2858;Airbus A330;2024-07-03;2026-06-10;646;OK
NH5062;Airbus A320;2024-07-15;2026-03-04;3238;OK
SA2418;Boeing 777;2025-03-01;2025-12-11;2575;OK
AA2610;Boeing 737;2025-05-11;2026-04-28;2219;OK
LA4298;Airbus A320;2024-08-25;2026-02-25;4230;OK
SK3122;Airbus A320;2024-12-03;2025-08-08;4465;OK
QF9271;Boeing 737;2024-08-24;2025-10-03;3164;OK
TG5281;Boeing 747;2025-03-09;2025-09-03;4202;OK
NZ3355;Boeing 737;2024-07-16;2026-06-20;4611;OK
SA4830;Airbus A320;2024-12-29;2026-03-06;2439;OK
DL5196;Boeing 747;2025-02-17;2025-12-04;4517;OK
AM2984;Airbus A330;2025-03-05;2026-01-24;1962;OK
LA5045;Airbus A330;2024-12-12;2025-07-26;1504;OK
NH7193;Boeing 737;2025-01-27;2025-10-22;2690;OK
BA4267;Boeing 747;2025-05-01;2026-03-12;2907;OK
QR9262;Boeing 777;2025-03-01;2026-02-26;4209;OK
UA8455;Airbus A320;2024-12-27;2026-03-26;3556;OK
NH4392;Airbus A320;2025-02-05;2026-03-15;1942;OK
WN1388;Airbus A350;2025-04-27;2025-09-27;573;OK
ET8204;Boeing 737;2025-06-16;2026-02-28;3598;OK
AV2245;Boeing 777;2025-03-31;2025-11-28;2944;OK
AM6473;Airbus A320;2024-07-07;2025-09-26;3487;OK
LH6903;Airbus A320;2025-06-03;2026-06-04;676;OK
QR4818;Boeing 777;2025-01-31;2025-12-21;3871;OK
AM4411;Airbus A320;2024-10-16;2025-06-24;3813;OK
SA2518;Boeing 747;2025-06-01;2026-02-21;3318;OK
WN2403;Airbus A320;2024-07-01;2025-11-02;335;OK
UA5434;Boeing 777;2024-11-18;2025-08-09;3409;OK
NH4262;Airbus A330;2025-01-01;2026-06-26;1551;OK
BA9707;Boeing 737;2025-06-17;2026-06-05;1486;OK
ET3337;Boeing 747;2024-09-03;2026-01-18;4189;OK
CX1836;Boeing 737;2025-04-15;2026-05-28;4326;OK
AM6970;Boeing 737;2024-09-08;2025-09-26;2191;OK
SA6084;Airbus A350;2025-05-01;2025-09-11;4676;OK
AC9242;Airbus A320;2025-01-20;2025-12-19;350;OK
NZ5969;Airbus A330;2025-04-09;2025-08-16;2980;OK
UA5070;Boeing 777;2025-01-23;2025-08-27;3171;OK
AA4032;Airbus A330;2025-06-19;2025-12-25;4319;OK
QR8188;Boeing 777;2025-04-22;2025-07-08;1953;OK
NH1430;Airbus A350;2025-01-28;2025-07-03;3183;OK
BA8910;Airbus A320;2024-09-26;2025-07-13;1451;OK
AF2048;Airbus A320;2024-11-01;2025-11-28;3370;OK
NZ5122;Airbus A350;2024-06-21;2026-01-19;928;OK
IB2768;Airbus A320;2024-11-01;2025-05-31;1052;OK
LH1888;Boeing 737;2024-12-05;2025-08-20;1385;OK
AF2581;Airbus A330;2025-04-11;2026-05-24;3284;OK
ET3233;Boeing 747;2025-01-11;2026-02-18;4917;OK
EK7150;Airbus A330;2025-05-09;2026-05-28;4162;OK
AZ5549;Boeing 737;2025-03-17;2026-01-04;3404;OK
AZ7021;Boeing 737;2024-08-07;2026-07-10;2960;OK
KL6937;Airbus A330;2024-08-22;2026-05-11;606;OK
SK4971;Boeing 737;2025-05-18;2026-01-28;234;OK
SQ8153;Airbus A330;2025-03-23;2025-12-08;2108;OK
AZ9035;Airbus A350;2024-08-06;2025-10-09;4681;OK
KE3382;Airbus A330;2024-10-07;2026-04-15;2497;OK
QF3279;Boeing 777;2024-08-13;2026-05-14;998;OK
EK3918;Boeing 747;2025-01-11;2026-02-12;3515;OK
NH5280;Boeing 747;2024-06-22;2025-11-12;1509;OK
LH7664;Airbus A330;2024-12-18;2026-03-12;1977;OK
QR8924;Airbus A330;2025-05-11;2025-10-09;4865;OK
BA7256;Boeing 737;2024-09-18;2026-06-18;839;OK
AF6122;Airbus A330;2025-02-25;2025-09-01;1409;OK
NH8979;Airbus A320;2025-02-06;2026-06-25;4768;OK
DL4294;Airbus A320;2024-09-23;2026-03-09;2568;OK
WN8327;Airbus A350;2024-07-01;2026-03-25;3658;OK
CX1465;Boeing 777;2024-11-10;2025-11-07;2604;OK
LA5408;Airbus A350;2024-09-23;2025-09-24;4615;OK
NZ4755;Airbus A320;2024-11-19;2026-05-10;2064;OK
QR9885;Airbus A350;2025-01-21;2026-04-30;1220;OK
SK7629;Airbus A330;2024-10-08;2026-05-16;1385;OK
AC2041;Airbus A350;2024-07-14;2025-08-24;3000;OK
CX4114;Boeing 747;2025-04-09;2026-07-05;570;OK
KE7322;Airbus A330;2025-02-21;2026-02-12;1087;OK
SA8436;Airbus A320;2025-02-07;2026-03-29;3873;OK
SQ9635;Airbus A330;2024-08-28;2026-03-02;4668;OK
QR7020;Airbus A330;2024-09-15;2025-10-15;852;OK
AZ8963;Airbus A330;2024-07-06;2026-02-22;1807;OK
